Sitename,Category,Address,Borough,Zip,Latitude,Longitude
Dollar Tree,rechargeable,39  Belmont Ave,Brooklyn,11212,40.6688592,-73.9089997
Trek Bikes - Upper West 96th,ebike,231 West 96th Street,New York,10025,40.7946893,-73.9713866
Duane Reade Drug Store,rechargeable,2858 Steinway St,Astoria,11103,40.76425040000001,-73.9152613
Dollar Tree,rechargeable,533 Remsen Ave,Brooklyn,11236,40.6535711,-73.9204736
ShopRite Supermarket,rechargeable;cellphones,1080 McDonald Ave,Brooklyn,11230,40.6264081,-73.97718739999999
Staples #1602,rechargeable;singleuse;cellphones,2441 31st St,Astoria,11102,40.7711916,-73.9162794
Dollar Tree,rechargeable,350 Junius Street,Brooklyn,11212,40.6660082,-73.9021805
Dollar Tree,rechargeable,1253 Utica Ave,Brooklyn,11203,40.64179590000001,-73.9290244
Dollar Tree,rechargeable,6101 18th Ave,Brooklyn,11204,40.6211275,-73.9878238
Express Line Wireless,rechargeable;cellphones,7624 13th Ave,Brooklyn,11228,40.6193705,-74.0087169
Dollar Tree,rechargeable,2294 Nostrand Avenue,Brooklyn,11210,40.6286435,-73.9476006
Larrys Freewheeling,ebike,301 Cathedral Parkway,NYC,10026,40.80104679999999,-73.95866290000001
JS CYCLE,ebike,1842 Adam Clayton Powell Jr. Blvd,New York,10026,40.8006059,-73.954807
Dollar Tree,rechargeable,864 Remsen Avenue,Brooklyn,11236,40.6465141,-73.91343189999999
Duane Reade Drug Store,rechargeable,2864 Broadway,New York,10025,40.8048689,-73.966177
Dollar Tree,rechargeable,679 Van Sinderen Ave,Brooklyn,11207,40.6596257,-73.89924380000001
Walgreen Drug Store,rechargeable,9408 3Rd Ave,Brooklyn,11209,40.6177745,-74.0338369
Staples #0147,rechargeable;singleuse;cellphones,9319 5th Ave,Brooklyn,11209,40.6165536,-74.0301041
The Home Depot,rechargeable,7301 25th Ave,East Elmhurst,11370,40.763045,-73.89464579999999
Harry's Paint & Hardware,rechargeable;cellphones,8203 Eliot Ave,Middle Village,11379,40.7260076,-73.8774911
Dollar Tree,rechargeable,7802 Metropolitan Avenue,Middle Village,11379,40.712908,-73.87519329999999
Walgreen Drug Store,rechargeable,8420 Broadway,Elmhurst,11373,40.7393851,-73.878339
Dollar Tree,rechargeable,2182 3rd Avenue,New York,10035,40.800227,-73.938782
Dollar Tree,rechargeable,1701 Utica Avenue,Brooklyn,11234,40.6307835,-73.9278533
Staples #1231,rechargeable;singleuse;cellphones,1760 Utica Ave,Brooklyn,11234,40.6291927,-73.9283585
Dollar Tree,rechargeable,19-80 Steinway Street,Astoria,11105,40.7773487,-73.9013521
North America Wireless,rechargeable;cellphones,2253 3rd Ave,New York,10035,40.8023633,-73.93443789999999
Dollar Tree,rechargeable,1726 McDonald Ave,Brooklyn,11230,40.6105782,-73.97372829999999
86 Wireless Inc,rechargeable;cellphones,1801 86th St,Brooklyn,11214,40.6072672,-74.0022955
Staples #1117,rechargeable;singleuse;cellphones,105 W 125th St,New York,10027,40.8082529,-73.9459433
Staples #1232,rechargeable;singleuse;cellphones,1880 Coney Island Ave,Brooklyn,11230,40.6119125,-73.963084
Dollar Tree,rechargeable,2612 Pitkin Avenue,Brooklyn,11208,40.6747197,-73.87538049999999
Dollar Tree,rechargeable,817 Van Siclen Ave,Brooklyn,11207,40.65965,-73.88467779999999
Dollar Tree,rechargeable,2027 Flatbush Avenue,Brooklyn,11234,40.6203671,-73.9340074
Dollar Tree,rechargeable,429 Tompkins Ave,Staten Island,10305,40.6157853,-74.0717931
Staples #1575,rechargeable;singleuse;cellphones,9030 Metropolitan Ave,Rego Park,11374,40.710916,-73.8582626
The Home Depot,rechargeable,7509 Woodhaven Blvd,Glendale,11385,40.70843139999999,-73.8578862
Dollar Tree,rechargeable,259 East 138th Street,Bronx,10451,40.8115858,-73.9274994
Dollar Tree,rechargeable,600 East 138th Street,Bronx,10454,40.8060275,-73.9164174
The Home Depot,rechargeable,545 Targee St,Staten Island,10304,40.6132755,-74.08374049999999
Staples #1257,rechargeable;singleuse;cellphones,409 Gateway Dr,Brooklyn,11239,40.653926,-73.87328529999999
Dollar Tree,rechargeable,250 E 144th Street,Bronx,10451,40.8155297,-73.92495439999999
The Home Depot,rechargeable,579 Gateway Dr,Brooklyn,11239,40.6534985,-73.8685143
The Home Depot,rechargeable,5700 Avenue U,Brooklyn,11234,40.6126027,-73.9166929
Dollar Tree,rechargeable,13525 79th Street  #A,Howard Beach,11414,40.6711732,-73.8560712
Lowe's,rechargeable;cellphones;highenergybattery,5602 Avenue U,Brooklyn,11234,40.6110078,-73.9185301
Brownie's Pro & Sport Hobbies,rechargeable;cellphones,124 Bennett St,Staten Island,10302,40.6378592,-74.1327472
Trek Bicycle Forest Hills,ebike,107-18 70th Rd.,Forest Hills,11375,40.7210107,-73.84528879999999
Dollar Tree,rechargeable,2114 Coyle Street,Brooklyn,11229,40.6003941,-73.9373818
The Home Depot,rechargeable,600 Exterior St,Bronx,10451,40.82397479999999,-73.9298281
Dollar Tree,rechargeable,612 Westchester Avenue,Bronx,10455,40.8156739,-73.9105384
Walgreen Drug Store,rechargeable,110-88 Queens Boulevard,Forest Hills,11375,40.7184402,-73.8381986
Staples #0188,rechargeable;singleuse;cellphones,2892 Ocean Ave,Brooklyn,11235,40.590833,-73.9502181
Dollar Tree,rechargeable,108-03 Atlantic Ave,Richmond Hill,11418,40.6916349,-73.8374035
Dollar Tree,rechargeable,13720 Crossbay Blvd,Ozone Park,11417,40.67167269999999,-73.8436523
Walgreen Drug Store,rechargeable,244 E 161St St,Bronx,10451,40.8254829,-73.9187711
Dollar Tree,rechargeable,11502 Jamaica Avenue,Richmond Hill,11418,40.69856739999999,-73.8337737
The Home Depot,rechargeable,2970 Cropsey Ave,Brooklyn,11214,40.5816038,-73.98868449999999
