Sitename,Address,Borough,Zip,Latitude,Longitude,Category
Hebrew Home for the Aged at Riverdale,"5901 Palisade Ave, Bronx, NY 10471",Bronx,10471,40.908687,-73.913345,Pharmaceuticals & Syringes
Interfaith Medical Center,"1545 Atlantic Ave, Brooklyn, NY 11213",Brooklyn,11213,40.67855,-73.93742,Pharmaceuticals & Syringes
Duane Reade,"949 Third Ave,  Manhattan,  NY 10022",Manhattan,10022,40.759718,-73.9674,Pharmaceuticals & Syringes
St. Barnabas Rehabilitation & Contributing Care Center,"4487 3rd Ave, Bronx, NY 10457",Bronx,10457,40.853718,-73.892105,Pharmaceuticals & Syringes
Caton Park Nursing Home,"1312 Caton Ave Brooklyn, NY 11226",Brooklyn,11226,40.649529,-73.9673,Pharmaceuticals & Syringes
Bellos Pharmacy,"179th St. Nicholas Ave,  Brooklyn,  NY 11237",Brooklyn,11237,40.704187,-73.91598,Pharmaceuticals & Syringes
St. Ann's Corner of Harm Reduction,"886 Westchester Ave, Bronx, NY10459",Bronx,10459,40.820477,-73.899391,Pharmaceuticals & Syringes
Ida Israel Community Health Center,"2925 W 19th St, Brooklyn, NY 11224",Brooklyn,11224,40.578615,-73.98593602,Pharmaceuticals & Syringes
AVK Rx Pharmacy,"3904 Church Ave,  Brooklyn,  NY 11219",Brooklyn,11219,40.650995,-73.9407,Pharmaceuticals & Syringes
Metropolitan Hospital Center,"1901 1 Ave, New York, NY 10029",Manhattan,10029,40.785143,-73.945199,Pharmaceuticals & Syringes
BMK Brooklyn Men Konnect,"147 Utica Ave, Brooklyn, NY 11213",Brooklyn,11213,40.673776,-73.930383,Pharmaceuticals & Syringes
Coney Island Hospital,"2601 Ocean Pkwy, Brooklyn, NY 11235",Brooklyn,11235,40.585211,-73.965307,Pharmaceuticals & Syringes
Staten Island Care Center,"200 Lafayette Ave, Staten Island, NY, 10301",Staten Island,10301,40.640041,-74.094955,Pharmaceuticals & Syringes
Harlem United - El Faro,"179 E 116 St, New York, NY 10035",Manhattan,10035,40.798393,-73.940326,Pharmaceuticals & Syringes
St. Barnabas Hospital,"4422 3rd Ave, Bronx, NY 10457",Bronx,10457,40.853236,-73.891122,Pharmaceuticals & Syringes
Preferred Pharmacy,"1771 Broadway,  Brooklyn,  NY 11207",Brooklyn,11207,40.682804,-73.9096,Pharmaceuticals & Syringes
Oak Park Pharmacy,"205 Prospect Park West,  Brooklyn,  NY 11215",Brooklyn,11215,40.660506,-73.9799,Pharmaceuticals & Syringes
Regeis Care Center,"3200 Baychester Ave, Bronx, NY 10475",Bronx,10475,40.877247,-73.835442,Pharmaceuticals & Syringes
New York Center for Rehabilitation and Nursing,"26-13 21 St, Astoria, NY 11102",Queens,11102,40.77281,-73.925115,Pharmaceuticals & Syringes
"Murawski Pharmacy, Inc","94-98 Nassau Ave,  Brooklyn,  NY 11222",Brooklyn,11222,40.723901,-73.95,Pharmaceuticals & Syringes
NYPD 121st Precinct,"970 Richmond Ave,  Staten Island,  NY 10314",Staten Island,10314,40.623587,-74.1514,Pharmaceuticals & Syringes
CVS Pharmacy,"241 West 57th Street,  Manhattan,  NY 10019",Manhattan,10019,40.766879,-73.9822,Pharmaceuticals & Syringes
Harlem Hospital Center,"506 Lenox Ave, New York, NY 10037",Manhattan,10037,40.814535,-73.9399,Pharmaceuticals & Syringes
New York Westchester Square Medical Center,"2475 St. Raymonds Ave, Bronx, NY 10461",Bronx,10461,40.84071,-73.848482,Pharmaceuticals & Syringes
St. Lukes - Roosevelt Hospital,"1000 10th Ave, New York, NY 10019",Manhattan,10019,40.769762,-73.986946,Pharmaceuticals & Syringes
Lincoln Medical & Mental Health Center,"234 E 149 St, Bronx, NY 10451",Bronx,10451,40.816978,-73.924294,Pharmaceuticals & Syringes
Shalom's Pharmacy,"1490 Coney Island Ave,  Brooklyn,  NY 11230",Brooklyn,11230,40.622196,-73.9641,Pharmaceuticals & Syringes
NYU Langone Health - Cobble Hill,"70 Atlantic Ave, Brooklyn, NY 11201",Brooklyn,11201,40.69093204,-73.99733235,Pharmaceuticals & Syringes
Bronx Lebanon Hospital Center - Concourse Division,"1650 Grand Concourse, Bronx, NY 10457",Bronx,10457,40.843542,-73.91101,Pharmaceuticals & Syringes
Danny's Pharmacy,"1632 Bruckner Boulevard,  Bronx,  NY 10473",Bronx,10473,40.823035,-73.8741,Pharmaceuticals & Syringes
Franhill Pharmacy,"204-19 Hillside Ave,  Queens,  NY 11423",Queens,11423,40.72085,-73.761,Pharmaceuticals & Syringes
Richmond Center for Rehabilitation and Specialty Healthcare,"91 Tompkins Ave, Staten Island, NY 10304",Staten Island,10304,40.622701,-74.077986,Pharmaceuticals & Syringes
Long Island Jewish Medical Center,"270 76th Ave, New Hyde Park, NY 11004",Queens,11004,40.754675,-73.705367,Pharmaceuticals & Syringes
Haitian Centers Council,"123 Linden Blvd, Brooklyn, NY 11226",Brooklyn,11226,40.652734,-73.954326,Pharmaceuticals & Syringes
Verrazano Nursing Home,"100 Castleton Ave, Staten Island, NY, 10301",Staten Island,10301,40.634117,-74.087463,Pharmaceuticals & Syringes
Coney Island Hospital - Homecrest Health Center,"1601 Avenue S Brooklyn, NY 11229",Brooklyn,11229,40.603871,-73.955902,Pharmaceuticals & Syringes
Elmhurst Care Center,"100 23rd Ave East Elmhurst, NY 11369",Queens,11369,40.768606,-73.872156,Pharmaceuticals & Syringes
MC Drugs LLC,"13670 Roosevelt Ave,  Queens,  NY 11354",Queens,11354,40.759873,-73.8275,Pharmaceuticals & Syringes
All Health Pharmacy Corp.,"118 Mott Street,  Manhattan,  NY 10013",Manhattan,10013,40.718,-73.9969,Pharmaceuticals & Syringes
CFH Living Room Medical Clinic,"800 Barretto Street, Bronx, NY 10474",Bronx,10474,40.81682,-73.889819,Pharmaceuticals & Syringes
Walgreens,"8420 Broadway,  Queens,  NY 11373",Queens,11373,40.739438,-73.8785,Pharmaceuticals & Syringes
North Central Bronx Hospital,"3424 Kossuth Ave, Bronx, NY 10467",Bronx,10467,40.880432,-73.881204,Pharmaceuticals & Syringes
VillageCare Rehabilitation and Nursing Center,"214 W Houston St, New York, NY 10014",Manhattan,10014,40.728783,-74.004475,Pharmaceuticals & Syringes
Walgreens,"127-04 Guy R Brewer Blvd,  Queens,  NY 11434",Queens,11434,40.677904,-73.7796,Pharmaceuticals & Syringes
Ocean A & R Pharmacy Inc.,"2806 Ocean Ave,  Brooklyn,  NY 11229",Brooklyn,11229,40.592959,-73.9505,Pharmaceuticals & Syringes
Riverdale Nursing Home,"641 W 230 St, Bronx, NY 10463",Bronx,10463,40.882319,-73.915021,Pharmaceuticals & Syringes
Windsor Park Nursing Home,"212-40 Hillside Ave, Queens Village, NY 11427",Queens,11427,40.725361,-73.752668,Pharmaceuticals & Syringes
NYPD 68th Precinct,"333 65th Street,  Brooklyn,  NY 11220",Brooklyn,11220,40.638995,-74.0225,Pharmaceuticals & Syringes
Prohealth Pharmacy,"385 Second Ave,  Manhattan,  NY 10010",Manhattan,10010,40.737703,-73.9819,Pharmaceuticals & Syringes
NYPD 122nd Precinct,"2320 Hylan Boulevard,  Staten Island,  NY 10306",Staten Island,10306,40.573803,-74.1055,Pharmaceuticals & Syringes
Highland Care Center,"91-31 175th St Jamaica, NY 11432",Queens,11432,40.708512,-73.785573,Pharmaceuticals & Syringes
Legend Drugs 1 LLC,"159 E Gun Hill Road,  Bronx,  NY 10467",Bronx,10467,40.881263,-73.8781,Pharmaceuticals & Syringes
